	Plate	Well	Well Number	Original Gene Target	Frames	Plate_Map_Name	Gene_Replicate	Site	DNA
202	LT0021_11	C1	49	ENSG00000149503	47	LT0021_11_49	1	1	LT0021_11/LT0021_11_49_47.tif
203	LT0021_11	C4	52	ENSG00000149503	53	LT0021_11_52	1	1	LT0021_11/LT0021_11_52_53.tif
204	LT0021_51	A4	4	ENSG00000149503	36	LT0021_51_4	1	1	LT0021_51/LT0021_51_4_36.tif
205	LT0021_51	C1	49	ENSG00000149503	44	LT0021_51_49	1	1	LT0021_51/LT0021_51_49_44.tif
206	LT0021_51	C4	52	ENSG00000149503	48	LT0021_51_52	1	1	LT0021_51/LT0021_51_52_48.tif
207	LT0021_68	A4	4	ENSG00000149503	49	LT0021_68_4	1	1	LT0021_68/LT0021_68_4_49.tif
208	LT0021_68	C1	49	ENSG00000149503	32	LT0021_68_49	1	1	LT0021_68/LT0021_68_49_32.tif
209	LT0021_68	C4	52	ENSG00000149503	52	LT0021_68_52	1	1	LT0021_68/LT0021_68_52_52.tif
210	LT0022_46	A4	4	ENSG00000149503	51	LT0022_46_4	1	1	LT0022_46/LT0022_46_4_51.tif
211	LT0022_46	C1	49	ENSG00000149503	41	LT0022_46_49	1	1	LT0022_46/LT0022_46_49_41.tif
212	LT0022_46	C4	52	ENSG00000149503	31	LT0022_46_52	1	1	LT0022_46/LT0022_46_52_31.tif
213	LT0022_46	P19	379	KIF11	54	LT0022_46_379	1	1	LT0022_46/LT0022_46_379_54.tif
214	LT0022_47	A4	4	ENSG00000149503	60	LT0022_47_4	1	1	LT0022_47/LT0022_47_4_60.tif
215	LT0022_47	C1	49	ENSG00000149503	55	LT0022_47_49	1	1	LT0022_47/LT0022_47_49_55.tif
216	LT0022_47	C4	52	ENSG00000149503	56	LT0022_47_52	1	1	LT0022_47/LT0022_47_52_56.tif
217	LT0022_47	P19	379	KIF11	52	LT0022_47_379	1	1	LT0022_47/LT0022_47_379_52.tif
218	LT0022_52	A4	4	ENSG00000149503	38	LT0022_52_4	1	1	LT0022_52/LT0022_52_4_38.tif
219	LT0022_52	C1	49	ENSG00000149503	31	LT0022_52_49	1	1	LT0022_52/LT0022_52_49_31.tif
220	LT0022_52	C4	52	ENSG00000149503	56	LT0022_52_52	1	1	LT0022_52/LT0022_52_52_56.tif
221	LT0022_52	P19	379	KIF11	50	LT0022_52_379	1	1	LT0022_52/LT0022_52_379_50.tif
222	LT0022_53	A4	4	ENSG00000149503	56	LT0022_53_4	1	1	LT0022_53/LT0022_53_4_56.tif
223	LT0022_53	C1	49	ENSG00000149503	48	LT0022_53_49	1	1	LT0022_53/LT0022_53_49_48.tif
224	LT0022_53	C4	52	ENSG00000149503	45	LT0022_53_52	1	1	LT0022_53/LT0022_53_52_45.tif
225	LT0022_53	P19	379	KIF11	44	LT0022_53_379	1	1	LT0022_53/LT0022_53_379_44.tif
226	LT0023_01	A4	4	ENSG00000149503	51	LT0023_01_4	1	1	LT0023_01/LT0023_01_4_51.tif
227	LT0023_01	C1	49	ENSG00000149503	51	LT0023_01_49	1	1	LT0023_01/LT0023_01_49_51.tif
228	LT0023_01	C4	52	ENSG00000149503	42	LT0023_01_52	1	1	LT0023_01/LT0023_01_52_42.tif
229	LT0023_04	A4	4	ENSG00000149503	37	LT0023_04_4	1	1	LT0023_04/LT0023_04_4_37.tif
230	LT0023_04	C1	49	ENSG00000149503	44	LT0023_04_49	1	1	LT0023_04/LT0023_04_49_44.tif
231	LT0023_04	C4	52	ENSG00000149503	55	LT0023_04_52	1	1	LT0023_04/LT0023_04_52_55.tif
232	LT0023_11	A4	4	ENSG00000149503	58	LT0023_11_4	1	1	LT0023_11/LT0023_11_4_58.tif
