	Plate	Well	Well Number	Original Gene Target	Frames
28105	LT0022_47	D2	74	negative control	42
28335	LT0022_47	M16	304	negative control	54
28346	LT0022_47	N3	315	negative control	59
28383	LT0022_47	O16	352	negative control	59
28430	LT0022_52	A15	15	negative control	49
28441	LT0022_52	B2	26	negative control	44
28478	LT0022_52	C15	63	negative control	54
28489	LT0022_52	D2	74	negative control	32
28719	LT0022_52	M16	304	negative control	37
28730	LT0022_52	N3	315	negative control	41
28767	LT0022_52	O16	352	negative control	52
28814	LT0022_53	A15	15	negative control	47
28825	LT0022_53	B2	26	negative control	61
28862	LT0022_53	C15	63	negative control	58
28873	LT0022_53	D2	74	negative control	47
29103	LT0022_53	M16	304	negative control	57
29114	LT0022_53	N3	315	negative control	59
29151	LT0022_53	O16	352	negative control	34
29198	LT0023_01	A15	15	negative control	57
29209	LT0023_01	B2	26	negative control	48
29246	LT0023_01	C15	63	negative control	41
29257	LT0023_01	D2	74	negative control	40
29487	LT0023_01	M16	304	negative control	43
29498	LT0023_01	N3	315	negative control	44
29535	LT0023_01	O16	352	negative control	56
29582	LT0023_04	A15	15	negative control	37
29593	LT0023_04	B2	26	negative control	37
29630	LT0023_04	C15	63	negative control	38
29641	LT0023_04	D2	74	negative control	39
29871	LT0023_04	M16	304	negative control	44
29882	LT0023_04	N3	315	negative control	55
29919	LT0023_04	O16	352	negative control	38
29966	LT0023_11	A15	15	negative control	47
29977	LT0023_11	B2	26	negative control	55
30014	LT0023_11	C15	63	negative control	53
30025	LT0023_11	D2	74	negative control	55
30255	LT0023_11	M16	304	negative control	46
30266	LT0023_11	N3	315	negative control	56
30303	LT0023_11	O16	352	negative control	39
30350	LT0024_01	A15	15	negative control	34
30361	LT0024_01	B2	26	negative control	37
30398	LT0024_01	C15	63	negative control	48
30409	LT0024_01	D2	74	negative control	38
30639	LT0024_01	M16	304	negative control	51
30650	LT0024_01	N3	315	negative control	56
30687	LT0024_01	O16	352	negative control	33
30734	LT0024_38	A15	15	negative control	59
30745	LT0024_38	B2	26	negative control	47
30782	LT0024_38	C15	63	negative control	55
30793	LT0024_38	D2	74	negative control	49
31023	LT0024_38	M16	304	negative control	44
31034	LT0024_38	N3	315	negative control	54
31071	LT0024_38	O16	352	negative control	55
31118	LT0024_41	A15	15	negative control	35
31129	LT0024_41	B2	26	negative control	35
31166	LT0024_41	C15	63	negative control	43
31177	LT0024_41	D2	74	negative control	48
31407	LT0024_41	M16	304	negative control	54
31418	LT0024_41	N3	315	negative control	61
31455	LT0024_41	O16	352	negative control	53
31502	LT0025_37	A15	15	negative control	56
31513	LT0025_37	B2	26	negative control	51
31550	LT0025_37	C15	63	negative control	32
31561	LT0025_37	D2	74	negative control	36
31791	LT0025_37	M16	304	negative control	56
31802	LT0025_37	N3	315	negative control	54
31839	LT0025_37	O16	352	negative control	58
31886	LT0025_41	A15	15	negative control	60
31897	LT0025_41	B2	26	negative control	32
31934	LT0025_41	C15	63	negative control	50
31945	LT0025_41	D2	74	negative control	52
32175	LT0025_41	M16	304	negative control	54
32186	LT0025_41	N3	315	negative control	50
32223	LT0025_41	O16	352	negative control	53
32270	LT0025_54	A15	15	negative control	53
32281	LT0025_54	B2	26	negative control	38
32329	LT0025_54	D2	74	negative control	40
32559	LT0025_54	M16	304	negative control	48
32570	LT0025_54	N3	315	negative control	40
32607	LT0025_54	O16	352	negative control	53
32654	LT0025_56	A15	15	negative control	31
32665	LT0025_56	B2	26	negative control	50
32702	LT0025_56	C15	63	negative control	55
32713	LT0025_56	D2	74	negative control	35
32943	LT0025_56	M16	304	negative control	48
32954	LT0025_56	N3	315	negative control	51
32991	LT0025_56	O16	352	negative control	52
33038	LT0026_01	A15	15	negative control	47
33049	LT0026_01	B2	26	negative control	34
33086	LT0026_01	C15	63	negative control	61
33097	LT0026_01	D2	74	negative control	41
33327	LT0026_01	M16	304	negative control	32
33338	LT0026_01	N3	315	negative control	51
33375	LT0026_01	O16	352	negative control	35
33422	LT0026_21	A15	15	negative control	35
33433	LT0026_21	B2	26	negative control	47
33470	LT0026_21	C15	63	negative control	47
33481	LT0026_21	D2	74	negative control	46
33711	LT0026_21	M16	304	negative control	41
33722	LT0026_21	N3	315	negative control	44
33759	LT0026_21	O16	352	negative control	39
33806	LT0026_22	A15	15	negative control	61
33817	LT0026_22	B2	26	negative control	58
33854	LT0026_22	C15	63	negative control	42
33865	LT0026_22	D2	74	negative control	62
34095	LT0026_22	M16	304	negative control	62
34106	LT0026_22	N3	315	negative control	51
34143	LT0026_22	O16	352	negative control	37
34190	LT0027_02	A15	15	negative control	40
34201	LT0027_02	B2	26	negative control	59
34238	LT0027_02	C15	63	negative control	58
34249	LT0027_02	D2	74	negative control	46
34479	LT0027_02	M16	304	negative control	34
34490	LT0027_02	N3	315	negative control	50
34527	LT0027_02	O16	352	negative control	43
34574	LT0027_43	A15	15	negative control	49
34585	LT0027_43	B2	26	negative control	48
34622	LT0027_43	C15	63	negative control	41
34633	LT0027_43	D2	74	negative control	33
34863	LT0027_43	M16	304	negative control	32
34874	LT0027_43	N3	315	negative control	42
34911	LT0027_43	O16	352	negative control	34
34958	LT0027_44	A15	15	negative control	43
34969	LT0027_44	B2	26	negative control	35
35006	LT0027_44	C15	63	negative control	57
35247	LT0027_44	M16	304	negative control	32
35258	LT0027_44	N3	315	negative control	48
35295	LT0027_44	O16	352	negative control	31
35342	LT0027_45	A15	15	negative control	38
35353	LT0027_45	B2	26	negative control	55
35390	LT0027_45	C15	63	negative control	57
35401	LT0027_45	D2	74	negative control	35
35631	LT0027_45	M16	304	negative control	34
35642	LT0027_45	N3	315	negative control	36
35679	LT0027_45	O16	352	negative control	37
35726	LT0028_01	A15	15	negative control	34
35737	LT0028_01	B2	26	negative control	33
35774	LT0028_01	C15	63	negative control	56
35785	LT0028_01	D2	74	negative control	39
36015	LT0028_01	M16	304	negative control	59
36026	LT0028_01	N3	315	negative control	32
36063	LT0028_01	O16	352	negative control	59
36110	LT0028_02	A15	15	negative control	35
36121	LT0028_02	B2	26	negative control	57
36158	LT0028_02	C15	63	negative control	31
36169	LT0028_02	D2	74	negative control	55
36399	LT0028_02	M16	304	negative control	44
36410	LT0028_02	N3	315	negative control	50
36447	LT0028_02	O16	352	negative control	40
36494	LT0028_14	A15	15	negative control	52
36505	LT0028_14	B2	26	negative control	36
36542	LT0028_14	C15	63	negative control	32
36553	LT0028_14	D2	74	negative control	38
36783	LT0028_14	M16	304	negative control	60
36794	LT0028_14	N3	315	negative control	61
36831	LT0028_14	O16	352	negative control	39
36878	LT0029_01	A15	15	negative control	53
36889	LT0029_01	B2	26	negative control	51
36926	LT0029_01	C15	63	negative control	38
36937	LT0029_01	D2	74	negative control	34
37167	LT0029_01	M16	304	negative control	52
